Member_number,Date,itemDescription,category
2978,09-05-2015,beverages,Uncategorized
3985,23-10-2015,cling film/bags,Uncategorized
4903,08-12-2015,curd,Uncategorized
2835,09-10-2015,onions,Uncategorized
3783,22-06-2015,beverages,Uncategorized
1486,14-12-2015,onions,Uncategorized
4589,08-10-2015,whole milk,Dairy
1132,19-02-2015,other vegetables,Vegetables
4827,27-11-2015,brown bread,Bakery
3361,28-06-2015,oil,Uncategorized
4681,11-09-2015,white bread,Bakery
4197,26-10-2015,pet care,Pet Supplies
3701,22-01-2015,white bread,Bakery
4195,01-10-2015,root vegetables,Vegetables
3429,01-04-2015,hard cheese,Dairy
2430,20-01-2015,root vegetables,Vegetables
4330,08-04-2015,domestic eggs,Uncategorized
1783,18-03-2015,hamburger meat,Meat
4025,04-11-2015,citrus fruit,Fruits
3399,19-07-2015,yogurt,Dairy
4766,03-01-2015,newspapers,Uncategorized
3562,13-08-2015,whole milk,Dairy
2447,21-01-2015,pot plants,Uncategorized
1396,22-07-2015,coffee,Beverages
4633,26-04-2015,bottled water,Beverages
4695,05-01-2015,soda,Beverages
1706,14-08-2015,waffles,Uncategorized
3872,23-11-2015,grapes,Uncategorized
1444,14-10-2015,root vegetables,Vegetables
4753,08-11-2015,beef,Meat
4580,29-11-2015,whole milk,Dairy
2516,03-04-2015,whole milk,Dairy
2415,08-08-2015,turkey,Uncategorized
3925,25-03-2015,root vegetables,Vegetables
4996,24-11-2015,bottled water,Beverages
4569,27-07-2015,pip fruit,Fruits
3509,11-04-2015,tropical fruit,Fruits
2252,08-10-2015,curd,Uncategorized
1634,09-02-2015,yogurt,Dairy
4112,27-04-2015,popcorn,Uncategorized
4042,08-08-2015,salty snack,Snacks
4473,26-06-2015,cat food,Pet Supplies
3878,30-04-2015,butter,Dairy
2266,30-09-2015,yogurt,Dairy
3304,30-11-2015,other vegetables,Vegetables
3757,04-02-2015,mustard,Condiments
3440,21-12-2015,pip fruit,Fruits
4328,04-02-2015,salty snack,Snacks
3737,06-12-2015,packaged fruit/vegetables,Fruits
3948,15-06-2015,whole milk,Dairy
3682,05-03-2015,frozen fish,Seafood
2827,31-10-2015,domestic eggs,Uncategorized
2650,05-10-2015,other vegetables,Vegetables
1360,16-12-2015,whole milk,Dairy
3679,23-12-2015,curd,Uncategorized
4137,07-03-2015,tea,Beverages
4235,19-12-2015,soda,Beverages
3193,31-01-2015,tropical fruit,Fruits
1332,02-12-2015,bottled water,Beverages
4821,28-11-2015,rolls/buns,Bakery
1837,09-07-2015,pot plants,Uncategorized
3665,23-09-2015,butter milk,Dairy
2659,08-05-2015,domestic eggs,Uncategorized
1322,09-01-2015,chewing gum,Uncategorized
1599,29-05-2015,pot plants,Uncategorized
2933,06-04-2015,herbs,Spices & Seasonings
3963,21-02-2015,liquor (appetizer),Pet Supplies
4178,03-06-2015,yogurt,Dairy
1052,27-10-2015,yogurt,Dairy
4693,18-08-2015,butter,Dairy
1329,02-02-2015,detergent,Household
3128,13-06-2015,rolls/buns,Bakery
1175,30-06-2015,beef,Meat
2211,31-03-2015,dessert,Uncategorized
2093,12-06-2015,pastry,Bakery
4284,14-10-2015,red/blush wine,Uncategorized
4449,30-03-2015,coffee,Beverages
4269,01-04-2015,citrus fruit,Fruits
1962,05-04-2015,tropical fruit,Fruits
2250,04-10-2015,other vegetables,Vegetables
1743,13-11-2015,white bread,Bakery
1583,28-07-2015,pastry,Bakery
4295,26-10-2015,fruit/vegetable juice,Fruits
1183,29-06-2015,butter,Dairy
2729,21-03-2015,bottled water,Beverages
4035,03-08-2015,frozen vegetables,Vegetables
1608,06-08-2015,shopping bags,Uncategorized
1793,03-07-2015,newspapers,Uncategorized
2210,09-07-2015,whole milk,Dairy
1885,03-07-2015,butter milk,Dairy
1078,28-10-2015,white bread,Bakery
1016,30-09-2015,oil,Uncategorized
3077,29-05-2015,pastry,Bakery
3551,01-05-2015,packaged fruit/vegetables,Fruits
1158,17-10-2015,butter,Dairy
2443,20-06-2015,soda,Beverages
1395,15-01-2015,beverages,Uncategorized
2454,10-11-2015,whole milk,Dairy
3472,30-04-2015,whipped/sour cream,Dairy
3547,28-11-2015,domestic eggs,Uncategorized
1038,21-02-2015,butter,Dairy
3915,11-09-2015,canned fruit,Fruits
2719,19-04-2015,berries,Uncategorized
2234,23-12-2015,waffles,Uncategorized
1565,14-12-2015,tea,Beverages
1328,24-03-2015,shopping bags,Uncategorized
3398,18-01-2015,citrus fruit,Fruits
3687,12-02-2015,herbs,Spices & Seasonings
1572,23-05-2015,other vegetables,Vegetables
3460,24-11-2015,frozen vegetables,Vegetables
2352,05-05-2015,pastry,Bakery
4816,31-07-2015,other vegetables,Vegetables
1152,19-07-2015,domestic eggs,Uncategorized
1120,11-06-2015,specialty bar,Snacks
4258,18-07-2015,chocolate,Snacks
4336,10-09-2015,soda,Beverages
1395,25-08-2015,salty snack,Snacks
3581,24-09-2015,baking powder,Uncategorized
1762,01-07-2015,bottled beer,Uncategorized
2659,08-12-2015,brown bread,Bakery
4120,17-01-2015,roll products ,Uncategorized
2420,08-03-2015,shopping bags,Uncategorized
2816,30-09-2015,root vegetables,Vegetables
1711,26-02-2015,whole milk,Dairy
2884,28-12-2015,dessert,Uncategorized
4153,13-06-2015,fruit/vegetable juice,Fruits
2184,11-05-2015,curd,Uncategorized
4381,30-09-2015,other vegetables,Vegetables
2920,27-03-2015,packaged fruit/vegetables,Fruits
3967,21-01-2015,root vegetables,Vegetables
3135,13-03-2015,specialty bar,Snacks
3459,05-08-2015,sugar,Dry Goods
2868,09-01-2015,semi-finished bread,Bakery
2989,06-01-2015,pip fruit,Fruits
1440,06-09-2015,shopping bags,Uncategorized
2796,19-05-2015,dessert,Uncategorized
1074,16-10-2015,flower (seeds),Uncategorized
2565,28-09-2015,frozen dessert,Frozen
1197,16-01-2015,chocolate,Snacks
1971,16-08-2015,fruit/vegetable juice,Fruits
3327,26-03-2015,bottled water,Beverages
1168,06-03-2015,frozen vegetables,Vegetables
2814,18-09-2015,specialty bar,Snacks
3298,26-05-2015,whole milk,Dairy
3728,12-11-2015,frozen potato products,Frozen
2116,29-08-2015,yogurt,Dairy
1139,19-01-2015,misc. beverages,Uncategorized
2463,26-12-2015,soda,Beverages
2978,27-06-2015,hygiene articles,Uncategorized
4525,07-10-2015,hygiene articles,Uncategorized
1213,14-09-2015,bottled beer,Uncategorized
4332,24-11-2015,processed cheese,Dairy
1729,15-12-2015,pet care,Pet Supplies
1695,04-02-2015,rolls/buns,Bakery
3503,29-11-2015,pip fruit,Fruits
3686,06-01-2015,whole milk,Dairy
4264,11-05-2015,popcorn,Uncategorized
1545,28-02-2015,white wine,Uncategorized
3195,08-07-2015,hygiene articles,Uncategorized
1409,17-02-2015,whole milk,Dairy
2800,21-06-2015,brown bread,Bakery
4453,27-07-2015,soda,Beverages
4820,18-01-2015,chocolate,Snacks
3716,08-10-2015,cake bar,Bakery
3270,15-05-2015,bottled water,Beverages
3410,16-01-2015,spread cheese,Dairy
3651,16-10-2015,newspapers,Uncategorized
2049,06-01-2015,grapes,Uncategorized
3507,27-08-2015,frozen meals,Frozen
3184,20-11-2015,fruit/vegetable juice,Fruits
2648,29-01-2015,root vegetables,Vegetables
1566,24-02-2015,soda,Beverages
4105,05-02-2015,whipped/sour cream,Dairy
3537,25-01-2015,yogurt,Dairy
2300,05-08-2015,long life bakery product,Uncategorized
3794,04-01-2015,other vegetables,Vegetables
3756,11-07-2015,packaged fruit/vegetables,Fruits
4197,06-02-2015,house keeping products,Uncategorized
4661,10-05-2015,salty snack,Snacks
3738,30-12-2015,flour,Dry Goods
4567,02-10-2015,root vegetables,Vegetables
2831,06-01-2015,frozen dessert,Frozen
4841,09-06-2015,fruit/vegetable juice,Fruits
1776,15-04-2015,canned beer,Canned Goods
1364,31-07-2015,whipped/sour cream,Dairy
1926,16-10-2015,whole milk,Dairy
3496,22-09-2015,soda,Beverages
1498,28-10-2015,whole milk,Dairy
4436,23-12-2015,hygiene articles,Uncategorized
4098,06-02-2015,whole milk,Dairy
4707,11-02-2015,root vegetables,Vegetables
4358,11-06-2015,chewing gum,Uncategorized
3290,29-05-2015,soda,Beverages
1940,04-06-2015,rolls/buns,Bakery
3363,18-08-2015,other vegetables,Vegetables
1782,01-08-2015,napkins,Uncategorized
2756,23-11-2015,curd,Uncategorized
4379,01-10-2015,sugar,Dry Goods
4686,08-10-2015,other vegetables,Vegetables
1230,06-04-2015,other vegetables,Vegetables
2918,19-07-2015,bathroom cleaner,Household
4604,09-12-2015,margarine,Uncategorized
4489,19-11-2015,curd,Uncategorized
4408,20-04-2015,butter,Dairy
1846,28-05-2015,bottled beer,Uncategorized
1658,15-06-2015,butter,Dairy
3046,09-01-2015,whole milk,Dairy
4528,13-10-2015,yogurt,Dairy
1132,22-09-2015,whole milk,Dairy
2386,05-12-2015,sugar,Dry Goods
4741,08-09-2015,finished products,Uncategorized
3971,19-10-2015,rolls/buns,Bakery
3029,14-02-2015,shopping bags,Uncategorized
2758,06-02-2015,curd,Uncategorized
3969,05-03-2015,rolls/buns,Bakery
2829,29-10-2015,candles,Uncategorized
4573,23-12-2015,rolls/buns,Bakery
4726,08-07-2015,chicken,Meat
3929,06-11-2015,spread cheese,Dairy
1286,10-07-2015,coffee,Beverages
1648,01-05-2015,pastry,Bakery
1544,25-02-2015,salty snack,Snacks
2925,16-03-2015,yogurt,Dairy
1276,23-11-2015,hard cheese,Dairy
1908,26-07-2015,butter,Dairy
2519,30-05-2015,whipped/sour cream,Dairy
3096,07-07-2015,soups,Canned Goods
1001,02-05-2015,curd,Uncategorized
4699,29-03-2015,curd,Uncategorized
1417,18-09-2015,salty snack,Snacks
4034,29-08-2015,whole milk,Dairy
4711,19-06-2015,whole milk,Dairy
3584,17-12-2015,whole milk,Dairy
2981,03-12-2015,whole milk,Dairy
1820,21-03-2015,brown bread,Bakery
3793,15-04-2015,whole milk,Dairy
1965,04-08-2015,other vegetables,Vegetables
4903,01-05-2015,fruit/vegetable juice,Fruits
1845,11-02-2015,margarine,Uncategorized
2384,02-01-2015,tropical fruit,Fruits
2584,25-04-2015,soap,Personal Care
1193,12-11-2015,root vegetables,Vegetables
4267,06-09-2015,whole milk,Dairy
2707,05-05-2015,whole milk,Dairy
3214,08-05-2015,yogurt,Dairy
1171,15-01-2015,beverages,Uncategorized
1950,11-11-2015,whole milk,Dairy
4737,19-09-2015,root vegetables,Vegetables
3589,04-11-2015,yogurt,Dairy
2246,29-08-2015,berries,Uncategorized
2128,10-08-2015,soda,Beverages
3866,21-04-2015,bottled water,Beverages
1882,09-07-2015,root vegetables,Vegetables
2574,25-08-2015,seasonal products,Uncategorized
2011,22-12-2015,other vegetables,Vegetables
4223,20-07-2015,other vegetables,Vegetables
2068,07-04-2015,rolls/buns,Bakery
3035,09-05-2015,candles,Uncategorized
2597,08-05-2015,napkins,Uncategorized
1306,08-01-2015,frozen vegetables,Vegetables
1789,24-04-2015,male cosmetics,Uncategorized
1003,10-02-2015,rolls/buns,Bakery
3378,13-01-2015,canned beer,Canned Goods
4460,01-05-2015,sliced cheese,Dairy
1961,21-06-2015,dish cleaner,Household
4576,18-06-2015,grapes,Uncategorized
3061,10-02-2015,berries,Uncategorized
1016,19-07-2015,red/blush wine,Uncategorized
3528,19-05-2015,rolls/buns,Bakery
4566,10-03-2015,butter,Dairy
1979,20-11-2015,frozen meals,Frozen
3662,03-12-2015,whole milk,Dairy
2700,13-05-2015,yogurt,Dairy
2432,12-12-2015,condensed milk,Dairy
2693,17-08-2015,yogurt,Dairy
1456,20-11-2015,domestic eggs,Uncategorized
4081,20-10-2015,rolls/buns,Bakery
4588,30-06-2015,bottled beer,Uncategorized
1892,08-03-2015,specialty bar,Snacks
1922,07-02-2015,pip fruit,Fruits
1440,06-12-2015,tropical fruit,Fruits
1420,19-06-2015,hygiene articles,Uncategorized
2273,21-10-2015,other vegetables,Vegetables
4910,25-11-2015,pastry,Bakery
4593,04-08-2015,rolls/buns,Bakery
1380,21-11-2015,soda,Beverages
4035,26-07-2015,frozen dessert,Frozen
3063,28-12-2015,root vegetables,Vegetables
2558,12-08-2015,rolls/buns,Bakery
1744,27-06-2015,soda,Beverages
3162,06-06-2015,bottled water,Beverages
3216,12-02-2015,newspapers,Uncategorized
4783,27-01-2015,yogurt,Dairy
2592,25-09-2015,bottled beer,Uncategorized
3141,19-07-2015,rolls/buns,Bakery
2315,20-12-2015,other vegetables,Vegetables
3318,12-01-2015,cat food,Pet Supplies
4594,02-05-2015,meat spreads,Uncategorized
2428,14-08-2015,white wine,Uncategorized
4613,17-05-2015,fruit/vegetable juice,Fruits
1676,11-10-2015,fruit/vegetable juice,Fruits
1259,21-11-2015,sliced cheese,Dairy
3930,12-07-2015,yogurt,Dairy
3995,26-06-2015,pip fruit,Fruits
1038,14-12-2015,butter,Dairy
4794,06-09-2015,soda,Beverages
3960,21-09-2015,whole milk,Dairy
3077,05-01-2015,vinegar,Uncategorized
1161,14-03-2015,whole milk,Dairy
1800,16-04-2015,brown bread,Bakery
1717,09-11-2015,other vegetables,Vegetables
1888,06-06-2015,sliced cheese,Dairy
2138,04-03-2015,root vegetables,Vegetables
1866,13-02-2015,bottled water,Beverages
4745,29-09-2015,canned fish,Seafood
1269,12-09-2015,whole milk,Dairy
4721,15-06-2015,rum,Uncategorized
2885,22-03-2015,nut snack,Snacks
1435,24-04-2015,hard cheese,Dairy
1887,03-02-2015,citrus fruit,Fruits
4776,26-03-2015,pip fruit,Fruits
4313,16-05-2015,seasonal products,Uncategorized
3545,28-08-2015,berries,Uncategorized
2307,12-03-2015,root vegetables,Vegetables
1215,18-01-2015,semi-finished bread,Bakery
1428,18-01-2015,whole milk,Dairy
4297,27-10-2015,butter milk,Dairy
1812,14-10-2015,yogurt,Dairy
2217,02-12-2015,domestic eggs,Uncategorized
2378,15-04-2015,pastry,Bakery
2397,23-06-2015,newspapers,Uncategorized
3419,20-08-2015,soap,Personal Care
4131,29-03-2015,female sanitary products,Uncategorized
2220,04-08-2015,bottled beer,Uncategorized
3870,21-03-2015,processed cheese,Dairy
1483,14-06-2015,specialty cheese,Dairy
3449,29-11-2015,rolls/buns,Bakery
1959,13-12-2015,yogurt,Dairy
4825,17-01-2015,butter,Dairy
3289,02-05-2015,beef,Meat
1256,29-08-2015,butter,Dairy
3369,23-03-2015,UHT-milk,Dairy
2191,25-10-2015,butter milk,Dairy
4645,06-12-2015,bottled beer,Uncategorized
3818,08-08-2015,margarine,Uncategorized
3857,04-11-2015,light bulbs,Uncategorized
3651,31-07-2015,shopping bags,Uncategorized
3689,29-07-2015,onions,Uncategorized
2361,03-10-2015,other vegetables,Vegetables
2513,15-12-2015,yogurt,Dairy
2110,29-07-2015,frozen meals,Frozen
4895,21-07-2015,pastry,Bakery
2756,31-07-2015,misc. beverages,Uncategorized
1960,09-01-2015,yogurt,Dairy
3924,29-10-2015,semi-finished bread,Bakery
3020,27-08-2015,white wine,Uncategorized
4531,10-08-2015,herbs,Spices & Seasonings
4901,14-02-2015,fruit/vegetable juice,Fruits
3787,24-09-2015,yogurt,Dairy
3688,24-09-2015,rolls/buns,Bakery
4717,10-04-2015,brown bread,Bakery
2210,25-09-2015,domestic eggs,Uncategorized
4152,29-05-2015,pasta,Grains & Pasta
4507,18-06-2015,candy,Uncategorized
1118,13-05-2015,pickled vegetables,Vegetables
4953,07-05-2015,coffee,Beverages
4417,21-01-2015,frozen meals,Frozen
2358,15-12-2015,hard cheese,Dairy
3122,05-02-2015,white bread,Bakery
3920,10-05-2015,napkins,Uncategorized
4592,08-12-2015,canned fish,Seafood
1326,09-11-2015,yogurt,Dairy
3729,29-11-2015,brown bread,Bakery
2627,31-10-2015,yogurt,Dairy
3393,07-11-2015,whole milk,Dairy
4302,03-08-2015,yogurt,Dairy
1734,15-02-2015,baking powder,Uncategorized
3635,26-02-2015,bottled beer,Uncategorized
3232,18-12-2015,white wine,Uncategorized
2805,18-04-2015,bottled water,Beverages
2214,19-01-2015,root vegetables,Vegetables
4725,02-12-2015,white bread,Bakery
4975,02-11-2015,beverages,Uncategorized
3393,23-02-2015,coffee,Beverages
4456,08-08-2015,cream cheese ,Dairy
4744,29-08-2015,fruit/vegetable juice,Fruits
1264,30-07-2015,tropical fruit,Fruits
3104,18-05-2015,spices,Spices & Seasonings
4966,25-01-2015,curd,Uncategorized
4183,15-01-2015,domestic eggs,Uncategorized
3786,10-02-2015,UHT-milk,Dairy
3299,28-02-2015,cream cheese ,Dairy
1656,07-07-2015,white bread,Bakery
4753,05-03-2015,seasonal products,Uncategorized
2857,18-04-2015,liquor (appetizer),Pet Supplies
3692,18-10-2015,packaged fruit/vegetables,Fruits
2613,23-08-2015,domestic eggs,Uncategorized
3509,08-07-2015,hygiene articles,Uncategorized
3048,06-10-2015,coffee,Beverages
1160,21-08-2015,coffee,Beverages
2629,26-04-2015,long life bakery product,Uncategorized
1444,06-06-2015,pickled vegetables,Vegetables
2578,01-12-2015,curd,Uncategorized
4184,28-06-2015,semi-finished bread,Bakery
3201,27-11-2015,whole milk,Dairy
3311,02-05-2015,frozen vegetables,Vegetables
4294,08-01-2015,cling film/bags,Uncategorized
2283,18-01-2015,shopping bags,Uncategorized
3325,07-11-2015,newspapers,Uncategorized
3621,02-11-2015,butter,Dairy
1968,03-10-2015,citrus fruit,Fruits
3717,01-04-2015,rolls/buns,Bakery
4704,18-08-2015,candy,Uncategorized
3904,11-05-2015,berries,Uncategorized
2336,07-10-2015,frozen meals,Frozen
3546,22-11-2015,rolls/buns,Bakery
3797,23-08-2015,other vegetables,Vegetables
4607,15-12-2015,sliced cheese,Dairy
4522,18-05-2015,candles,Uncategorized
4695,13-10-2015,whole milk,Dairy
4919,30-03-2015,pastry,Bakery
3289,15-03-2015,rolls/buns,Bakery
1200,26-09-2015,rolls/buns,Bakery
3789,06-09-2015,root vegetables,Vegetables
1289,08-11-2015,brown bread,Bakery
2415,29-04-2015,softener,Uncategorized
1943,30-09-2015,whole milk,Dairy
3685,26-08-2015,curd,Uncategorized
3447,27-11-2015,mustard,Condiments
2164,08-10-2015,other vegetables,Vegetables
4107,05-02-2015,domestic eggs,Uncategorized
2744,19-05-2015,fruit/vegetable juice,Fruits
1051,12-08-2015,rolls/buns,Bakery
2087,09-04-2015,brown bread,Bakery
1020,13-10-2015,rolls/buns,Bakery
4546,09-04-2015,pip fruit,Fruits
1182,29-11-2015,pip fruit,Fruits
2727,15-12-2015,whipped/sour cream,Dairy
4314,29-04-2015,bottled beer,Uncategorized
2745,19-02-2015,oil,Uncategorized
3147,20-02-2015,Instant food products,Uncategorized
2677,07-12-2015,UHT-milk,Dairy
2321,08-04-2015,whole milk,Dairy
4708,02-10-2015,brown bread,Bakery
3225,12-12-2015,other vegetables,Vegetables
3401,28-09-2015,root vegetables,Vegetables
3735,27-04-2015,pet care,Pet Supplies
2486,25-11-2015,yogurt,Dairy
4790,15-08-2015,newspapers,Uncategorized
1730,19-09-2015,rolls/buns,Bakery
4724,12-02-2015,whole milk,Dairy
4951,09-01-2015,whole milk,Dairy
1341,30-10-2015,berries,Uncategorized
4519,02-09-2015,frozen vegetables,Vegetables
2914,01-04-2015,rolls/buns,Bakery
3916,04-10-2015,citrus fruit,Fruits
4145,11-04-2015,rolls/buns,Bakery
3657,27-01-2015,domestic eggs,Uncategorized
2546,07-05-2015,mustard,Condiments
2738,03-02-2015,root vegetables,Vegetables
1491,30-12-2015,pork,Meat
3268,18-04-2015,margarine,Uncategorized
1820,07-04-2015,ham,Meat
1923,06-12-2015,other vegetables,Vegetables
2968,17-10-2015,shopping bags,Uncategorized
4970,08-08-2015,pastry,Bakery
4827,03-10-2015,rolls/buns,Bakery
3474,07-04-2015,dishes,Uncategorized
4417,19-03-2015,fruit/vegetable juice,Fruits
3061,05-11-2015,domestic eggs,Uncategorized
4364,25-05-2015,butter,Dairy
2887,17-01-2015,whole milk,Dairy
1292,24-10-2015,pork,Meat
1693,27-12-2015,pastry,Bakery
2267,07-01-2015,long life bakery product,Uncategorized
2663,10-09-2015,pastry,Bakery
1551,11-06-2015,yogurt,Dairy
3421,12-05-2015,yogurt,Dairy
2785,12-07-2015,whole milk,Dairy
4326,02-05-2015,sweet spreads,Uncategorized
2871,20-12-2015,root vegetables,Vegetables
4969,26-05-2015,bottled water,Beverages
3463,24-09-2015,yogurt,Dairy
1504,30-11-2015,whole milk,Dairy
2528,19-10-2015,margarine,Uncategorized
1959,15-05-2015,semi-finished bread,Bakery
2479,13-01-2015,newspapers,Uncategorized
4809,13-04-2015,curd,Uncategorized
4047,06-03-2015,beverages,Uncategorized
2781,11-01-2015,yogurt,Dairy
1837,03-01-2015,root vegetables,Vegetables
3288,26-04-2015,whole milk,Dairy
1152,20-04-2015,frozen meals,Frozen
1641,23-06-2015,whipped/sour cream,Dairy
2685,19-07-2015,other vegetables,Vegetables
3599,08-01-2015,citrus fruit,Fruits
2114,06-11-2015,whole milk,Dairy
2019,08-09-2015,other vegetables,Vegetables
4019,19-03-2015,grapes,Uncategorized
3663,28-06-2015,white bread,Bakery
3170,03-12-2015,yogurt,Dairy
3537,24-09-2015,curd,Uncategorized
3918,22-06-2015,beef,Meat
3507,22-07-2015,pastry,Bakery
4453,22-05-2015,brown bread,Bakery
2769,31-07-2015,rolls/buns,Bakery
4151,02-11-2015,whole milk,Dairy
2291,10-04-2015,canned fish,Seafood
1677,21-02-2015,specialty chocolate,Snacks
1499,06-03-2015,frozen vegetables,Vegetables
2274,05-01-2015,rolls/buns,Bakery
2186,02-04-2015,canned beer,Canned Goods
4437,07-08-2015,chewing gum,Uncategorized
4856,03-01-2015,specialty bar,Snacks
3413,23-09-2015,chocolate,Snacks
4741,25-09-2015,whole milk,Dairy
4406,27-05-2015,chewing gum,Uncategorized
2601,30-04-2015,specialty chocolate,Snacks
4845,12-10-2015,berries,Uncategorized
3695,09-07-2015,sliced cheese,Dairy
2202,28-02-2015,curd,Uncategorized
1027,25-02-2015,red/blush wine,Uncategorized
1744,28-09-2015,bottled beer,Uncategorized
4864,04-12-2015,pip fruit,Fruits
3730,27-07-2015,other vegetables,Vegetables
2127,01-01-2015,pickled vegetables,Vegetables
2672,26-11-2015,pastry,Bakery
1930,02-02-2015,specialty bar,Snacks
3623,07-05-2015,liquor,Uncategorized
4082,01-05-2015,root vegetables,Vegetables
4387,26-07-2015,brown bread,Bakery
4424,22-08-2015,red/blush wine,Uncategorized
3630,24-07-2015,curd,Uncategorized
2202,28-05-2015,rolls/buns,Bakery
3036,18-09-2015,whole milk,Dairy
4529,10-05-2015,other vegetables,Vegetables
1968,16-02-2015,frozen meals,Frozen
1511,22-03-2015,shopping bags,Uncategorized
1503,17-08-2015,whole milk,Dairy
2091,30-07-2015,onions,Uncategorized
1651,22-02-2015,bottled water,Beverages
1553,20-03-2015,mustard,Condiments
4746,09-12-2015,yogurt,Dairy
2902,12-06-2015,other vegetables,Vegetables
4205,29-01-2015,whipped/sour cream,Dairy
1508,15-11-2015,canned beer,Canned Goods
2403,01-12-2015,yogurt,Dairy
4705,22-05-2015,canned beer,Canned Goods
1285,21-07-2015,hygiene articles,Uncategorized
4238,03-12-2015,onions,Uncategorized
1938,08-05-2015,rolls/buns,Bakery
3402,23-05-2015,dessert,Uncategorized
4031,18-10-2015,soda,Beverages
1739,31-05-2015,soda,Beverages
2104,27-02-2015,candy,Uncategorized
4516,07-12-2015,candy,Uncategorized
3485,22-07-2015,tropical fruit,Fruits
4462,07-06-2015,citrus fruit,Fruits
2544,29-01-2015,berries,Uncategorized
2805,30-08-2015,ice cream,Dairy
2969,24-08-2015,canned fish,Seafood
3563,25-11-2015,whole milk,Dairy
2683,18-01-2015,red/blush wine,Uncategorized
3776,18-07-2015,soda,Beverages
1331,29-11-2015,root vegetables,Vegetables
1498,28-05-2015,dessert,Uncategorized
3890,11-01-2015,rolls/buns,Bakery
4559,07-02-2015,whole milk,Dairy
2723,31-01-2015,dishes,Uncategorized
2925,11-12-2015,cake bar,Bakery
3684,15-02-2015,chocolate,Snacks
1770,19-11-2015,shopping bags,Uncategorized
3661,17-06-2015,butter,Dairy
1044,25-10-2015,curd,Uncategorized
3031,25-11-2015,brown bread,Bakery
3028,19-05-2015,yogurt,Dairy
3035,04-03-2015,rolls/buns,Bakery
3189,23-11-2015,fruit/vegetable juice,Fruits
3766,08-11-2015,shopping bags,Uncategorized
4540,04-08-2015,beverages,Uncategorized
4362,11-07-2015,frozen vegetables,Vegetables
4355,21-11-2015,bottled beer,Uncategorized
1510,25-10-2015,soda,Beverages
4299,14-08-2015,rolls/buns,Bakery
1982,14-12-2015,butter,Dairy
3365,13-08-2015,cat food,Pet Supplies
3653,09-11-2015,red/blush wine,Uncategorized
1795,03-04-2015,whole milk,Dairy
4693,24-04-2015,whipped/sour cream,Dairy
4219,16-10-2015,long life bakery product,Uncategorized
3636,14-05-2015,whole milk,Dairy
1595,11-04-2015,soda,Beverages
3196,05-05-2015,whole milk,Dairy
2657,21-05-2015,frozen dessert,Frozen
4656,14-10-2015,grapes,Uncategorized
4239,11-02-2015,berries,Uncategorized
1510,21-08-2015,whole milk,Dairy
3462,21-01-2015,nut snack,Snacks
3794,01-11-2015,liquor (appetizer),Pet Supplies
1408,01-03-2015,soda,Beverages
3686,29-08-2015,other vegetables,Vegetables
2273,28-02-2015,soft cheese,Dairy
4693,13-03-2015,female sanitary products,Uncategorized
2597,13-02-2015,onions,Uncategorized
1551,21-07-2015,curd,Uncategorized
2888,08-01-2015,brown bread,Bakery
1631,14-08-2015,herbs,Spices & Seasonings
3564,04-07-2015,bottled water,Beverages
4277,25-11-2015,grapes,Uncategorized
4410,12-10-2015,salty snack,Snacks
3455,18-11-2015,soft cheese,Dairy
2467,05-07-2015,nuts/prunes,Snacks
2235,19-01-2015,processed cheese,Dairy
2145,21-01-2015,soda,Beverages
3310,08-03-2015,grapes,Uncategorized
2876,19-09-2015,chewing gum,Uncategorized
3736,26-02-2015,root vegetables,Vegetables
3402,16-08-2015,sauces,Condiments
1397,21-12-2015,whipped/sour cream,Dairy
3497,15-08-2015,white bread,Bakery
3044,07-06-2015,UHT-milk,Dairy
1296,23-11-2015,yogurt,Dairy
3999,16-11-2015,rolls/buns,Bakery
2492,10-11-2015,whole milk,Dairy
1572,21-09-2015,candy,Uncategorized
4224,29-01-2015,brown bread,Bakery
2352,31-01-2015,shopping bags,Uncategorized
3609,23-02-2015,frozen meals,Frozen
4142,17-11-2015,beverages,Uncategorized
2736,26-12-2015,butter milk,Dairy
2517,20-03-2015,domestic eggs,Uncategorized
4999,18-02-2015,onions,Uncategorized
4338,24-03-2015,pickled vegetables,Vegetables
2215,26-11-2015,cream cheese ,Dairy
2745,21-04-2015,other vegetables,Vegetables
2861,12-03-2015,tropical fruit,Fruits
3553,10-05-2015,other vegetables,Vegetables
2993,05-05-2015,napkins,Uncategorized
4365,20-02-2015,whole milk,Dairy
2860,20-12-2015,flower (seeds),Uncategorized
3760,22-11-2015,sliced cheese,Dairy
2505,22-04-2015,whole milk,Dairy
1485,12-07-2015,other vegetables,Vegetables
4608,27-04-2015,ketchup,Condiments
2873,15-07-2015,liquor (appetizer),Pet Supplies
4848,07-07-2015,rolls/buns,Bakery
2550,23-12-2015,whipped/sour cream,Dairy
2085,22-04-2015,candy,Uncategorized
2549,24-08-2015,soda,Beverages
1200,08-08-2015,root vegetables,Vegetables
3463,09-05-2015,shopping bags,Uncategorized
3583,02-08-2015,male cosmetics,Uncategorized
1276,26-03-2015,yogurt,Dairy
2951,22-12-2015,domestic eggs,Uncategorized
4970,23-07-2015,sliced cheese,Dairy
1492,20-01-2015,other vegetables,Vegetables
3864,26-08-2015,sugar,Dry Goods
2506,17-11-2015,other vegetables,Vegetables
